"OBÈINE","SKD DEJAVNOST","2021 (zaèasni podatki)"
"Borovnica","P Izobraževanje",248322
"Borovnica","Q Zdravstvo in socialno varstvo",0
"Borovnica","R Kulturne, razvedrilne in rekreacijske dejavnosti",11368
"Borovnica","S Druge dejavnosti",10218
"Borovnica","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Borovnica","U Dejavnost eksteritorialnih organizacij in teles",0
"Borovnica","X Neznano",53650
"Bovec","SKD Dejavnost - SKUPAJ",13658883
"Bovec","A Kmetijstvo in lov, gozdarstvo, ribištvo",23211
"Bovec","B Rudarstvo",0
"Bovec","C Predelovalne dejavnosti",7830354
"Bovec","D Oskrba z elektrièno energijo, plinom in paro",226452
"Bovec","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",474783
"Bovec","F Gradbeništvo",18717
"Bovec","G Trgovina, vzdrževanje in popravila motornih vozil",866589
"Bovec","H Promet in skladišèenje",701666
"Bovec","I Gostinstvo",1905550
"Bovec","J Informacijske in komunikacijske dejavnosti",479603
"Bovec","K Finanène in zavarovalniške dejavnosti",21929
"Bovec","L Poslovanje z nepremièninami",27068
"Bovec","M Strokovne, znanstvene in tehniène dejavnosti",36816
"Bovec","N Druge raznovrstne poslovne dejavnosti",122345
"Bovec","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",368403
"Bovec","P Izobraževanje",177300
"Bovec","Q Zdravstvo in socialno varstvo",34047
"Bovec","R Kulturne, razvedrilne in rekreacijske dejavnosti",153095
"Bovec","S Druge dejavnosti",37496
"Bovec","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Bovec","U Dejavnost eksteritorialnih organizacij in teles",0
"Bovec","X Neznano",153459
"Braslovèe","SKD Dejavnost - SKUPAJ",4448060
"Braslovèe","A Kmetijstvo in lov, gozdarstvo, ribištvo",56766
"Braslovèe","B Rudarstvo",0
"Braslovèe","C Predelovalne dejavnosti",1848118
"Braslovèe","D Oskrba z elektrièno energijo, plinom in paro",14761
"Braslovèe","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",70901
"Braslovèe","F Gradbeništvo",15863
"Braslovèe","G Trgovina, vzdrževanje in popravila motornih vozil",705200
"Braslovèe","H Promet in skladišèenje",5522
"Braslovèe","I Gostinstvo",320479
"Braslovèe","J Informacijske in komunikacijske dejavnosti",166049
"Braslovèe","K Finanène in zavarovalniške dejavnosti",113
"Braslovèe","L Poslovanje z nepremièninami",523
"Braslovèe","M Strokovne, znanstvene in tehniène dejavnosti",7751
"Braslovèe","N Druge raznovrstne poslovne dejavnosti",21286
"Braslovèe","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",320819
"Braslovèe","P Izobraževanje",368503
"Braslovèe","Q Zdravstvo in socialno varstvo",4962
"Braslovèe","R Kulturne, razvedrilne in rekreacijske dejavnosti",136666
"Braslovèe","S Druge dejavnosti",30721
"Braslovèe","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
