"OBÈINE","VRSTA ODJEMALCA","2020M01 (zaèasni podatki)","2020M02 (zaèasni podatki)","2020M03 (zaèasni podatki)","2020M04 (zaèasni podatki)","2020M05 (zaèasni podatki)","2020M06 (zaèasni podatki)","2020M07 (zaèasni podatki)","2020M08 (zaèasni podatki)","2020M09 (zaèasni podatki)","2020M10 (zaèasni podatki)","2020M11 (zaèasni podatki)","2020M12 (zaèasni podatki)","2021M01 (zaèasni podatki)","2021M02 (zaèasni podatki)","2021M03 (zaèasni podatki)","2021M04 (zaèasni podatki)","2021M05 (zaèasni podatki)","2021M06 (zaèasni podatki)","2021M07 (zaèasni podatki)","2021M08 (zaèasni podatki)","2021M09 (zaèasni podatki)","2021M10 (zaèasni podatki)","2021M11 (zaèasni podatki)","2021M12 (zaèasni podatki)","2022M01 (zaèasni podatki)","2022M02 (zaèasni podatki)","2022M03 (zaèasni podatki)","2022M04 (zaèasni podatki)","2022M05 (zaèasni podatki)","2022M06 (zaèasni podatki)","2022M07 (zaèasni podatki)","2022M08 (zaèasni podatki)","2022M09 (zaèasni podatki)"
"Straža","Vrsta odjemalca - SKUPAJ",1325086,1128001,1151763,1039455,1000604,946525,1019130,895714,1013020,1155988,1249221,1349919,1377732,1224716,1307401,1153626,1113340,1021656,1041573,880374,1022880,1207876,1297467,1410522,1487321,1239904,1339941,1096493,1063792,1019301,1050214,891457,1035741
"Straža","Gospodinjstva",707516,573410,603603,556471,499824,457325,469603,478896,471115,552268,635465,739869,760777,619809,633630,586100,517226,480006,473498,464184,457464,580339,639151,772632,767196,630177,647651,550278,484354,453672,468989,451626,462218
"Straža","Poslovni subjekti",617570,554591,548160,482984,500780,489200,549527,416818,541905,603720,613756,610050,616955,604907,673771,567526,596114,541650,568075,416190,565416,627537,658316,637890,720125,609727,692290,546215,579438,565629,581225,439831,573523
"Sveta Ana","Vrsta odjemalca - SKUPAJ",533986,463778,483515,463487,554559,443755,452629,458434,462796,511439,550860,597186,575925,496880,480860,463205,474579,459425,453518,446897,438222,523715,554013,608163,585614,464929,508309,443032,410808,386313,409029,400266,400345
"Sveta Ana","Gospodinjstva",440803,381308,398547,386280,436784,352847,359257,364161,353705,370480,438203,507041,493147,427702,405721,388993,391611,374401,365951,361743,352711,395179,425646,504532,488854,388704,421664,363751,326092,315063,325178,320195,323241
"Sveta Ana","Poslovni subjekti",93183,82470,84968,77207,117775,90908,93372,94273,109091,140959,112657,90145,82778,69178,75139,74212,82968,85024,87567,85154,85511,128536,128367,103631,96760,76225,86645,79281,84716,71250,83851,80071,77104
"Sveta Trojica v Slov. goricah","Vrsta odjemalca - SKUPAJ",553027,443685,432950,428879,379076,365599,370065,371731,371616,416563,471814,596775,555396,481232,489139,467421,417905,388128,397732,386547,362836,456809,510543,621498,652965,501654,515666,444387,385612,367283,377305,369885,378154
"Sveta Trojica v Slov. goricah","Gospodinjstva",425866,340217,347003,347532,312821,286119,294428,292281,298910,334530,383419,456256,436315,376590,384958,370707,322816,295987,305329,299297,279881,354496,388408,476718,514567,388710,400630,341630,295373,274221,283819,278265,287870
"Sveta Trojica v Slov. goricah","Poslovni subjekti",127161,103468,85947,81347,66255,79480,75637,79450,72706,82033,88395,140519,119081,104642,104181,96714,95089,92141,92403,87250,82955,102313,122135,144780,138398,112944,115036,102757,90239,93062,93486,91620,90284
"Sveti Andraž v Slov. goricah","Vrsta odjemalca - SKUPAJ",312947,258558,269312,240712,228138,253935,224853,222869,224883,256802,268490,339318,340395,293890,284689,264109,228455,276435,230947,211714,231293,266146,291892,331600,357956,294638,311595,259557,237597,216729,210839,210346,226038
"Sveti Andraž v Slov. goricah","Gospodinjstva",256305,216099,231226,208043,194143,219425,189805,189494,179565,207228,230360,292060,292262,253913,241211,226371,192572,238266,190007,171099,183443,209728,242476,266010,262458,214307,229848,191911,179487,173403,169912,171725,173396
"Sveti Andraž v Slov. goricah","Poslovni subjekti",56642,42459,38086,32669,33995,34510,35048,33375,45318,49574,38130,47258,48133,39977,43478,37738,35883,38169,40940,40615,47850,56418,49416,65590,95498,80331,81747,67646,58110,43326,40927,38621,52642
"Sveti Jurij ob Šèavnici","Vrsta odjemalca - SKUPAJ",758826,644221,656045,571950,588704,557513,619549,598405,576723,616588,650965,768522,762166,649444,753081,628314,598854,592053,655641,579255,581933,662705,707126,838984,798610,650045,702733,610709,538276,543673,576737,559754,564177
"Sveti Jurij ob Šèavnici","Gospodinjstva",534530,445414,467552,426558,429866,389405,444360,415899,400262,442888,483171,571825,564359,473483,538021,453427,431493,406408,392947,387504,388334,451135,484893,598258,563763,453017,488175,430001,364475,363324,385482,371692,377908
"Sveti Jurij ob Šèavnici","Poslovni subjekti",224296,198807,188493,145392,158838,168108,175189,182506,176461,173700,167794,196697,197807,175961,215060,174887,167361,185645,262694,191751,193599,211570,222233,240726,234847,197028,214558,180708,173801,180349,191255,188062,186269
"Sveti Jurij v Slov. goricah","Vrsta odjemalca - SKUPAJ",443647,360469,361848,416076,341392,325959,330434,326124,314367,356409,379074,456078,448456,381829,407596,402458,345458,327580,304774,316642,300018,356258,397125,511171,459931,380739,408055,358477,314735,300740,306401,306244,308852
"Sveti Jurij v Slov. goricah","Gospodinjstva",364677,301118,307706,366495,290326,274722,277842,274731,261418,294924,318945,390280,381676,324710,346119,349699,289759,272431,252485,265625,247590,294434,329197,432277,387513,322068,343641,300594,258582,248160,255655,254242,253900
"Sveti Jurij v Slov. goricah","Poslovni subjekti",78970,59351,54142,49581,51066,51237,52592,51393,52949,61485,60129,65798,66780,57119,61477,52759,55699,55149,52289,51017,52428,61824,67928,78894,72418,58671,64414,57883,56153,52580,50746,52002,54952
"Sveti Tomaž","Vrsta odjemalca - SKUPAJ",376278,309929,332971,301153,305307,311111,305505,305690,274093,318235,328873,378484,379458,329354,356158,326553,325768,308567,311842,306231,269917,326678,344815,425902,423811,334153,351998,323163,302870,295298,300430,289484,285578
"Sveti Tomaž","Gospodinjstva",307328,262998,286464,266487,264978,268619,258962,260834,223887,272733,287316,332604,331683,281055,310463,286059,281315,261483,263559,260377,224384,278798,293874,369027,348929,284549,302013,277636,256676,247713,255031,245304,241725
"Sveti Tomaž","Poslovni subjekti",68950,46931,46507,34666,40329,42492,46543,44856,50206,45502,41557,45880,47775,48299,45695,40494,44453,47084,48283,45854,45533,47880,50941,56875,74882,49604,49985,45527,46194,47585,45399,44180,43853
"Šalovci","Vrsta odjemalca - SKUPAJ",300624,267149,282989,240093,255088,239632,246397,243503,233807,248662,259336,331952,313796,267232,271672,272111,267172,234750,242676,241483,232848,269300,288224,365069,349969,291483,319589,271811,241070,248721,249655,247972,239723
"Šalovci","Gospodinjstva",236557,200919,218959,183875,200911,178732,184321,183181,175459,191803,206540,265918,253865,209909,212688,221175,218223,175887,180114,181007,172690,206346,216088,285107,264979,212372,229389,197157,166323,162427,173906,171455,167229
"Šalovci","Poslovni subjekti",64067,66230,64030,56218,54177,60900,62076,60322,58348,56859,52796,66034,59931,57323,58984,50936,48949,58863,62562,60476,60158,62954,72136,79962,84990,79111,90200,74654,74747,86294,75749,76517,72494
"Šempeter - Vrtojba","Vrsta odjemalca - SKUPAJ",4418346,4133376,3752069,2781115,3525953,3995312,4562162,4443756,4269285,4276694,4218373,4104307,4423076,4100750,4479065,4132860,4225961,4560563,4933266,4513732,4484883,4159991,4252044,4519061,4587218,4214064,4679907,3996755,4366014,4718139,5060897,4580768,4485684
"Šempeter - Vrtojba","Gospodinjstva",1027181,916127,953097,873889,851776,784915,806117,760839,815831,863525,965470,1020154,1079941,950830,1004619,927748,864339,827118,865763,816340,1041208,876224,918039,1079579,1058865,1009916,1057478,908492,851521,810077,869359,818401,916508
"Šempeter - Vrtojba","Poslovni subjekti",3391165,3217249,2798972,1907226,2674177,3210397,3756045,3682917,3453454,3413169,3252903,3084153,3343135,3149920,3474446,3205112,3361622,3733445,4067503,3697392,3443675,3283767,3334005,3439482,3528353,3204148,3622429,3088263,3514493,3908062,4191538,3762367,3569176
"Šenèur","Vrsta odjemalca - SKUPAJ",3235763,2952487,2948831,2530609,2466439,2567345,2459473,2465543,2534851,2893952,3058961,3353695,3559910,3069358,3150263,2837748,2788332,2595958,2616648,2453080,2550123,2963442,3162282,3748890,3559932,3092325,3152892,2683429,2526410,2550553,2336166,2262522,2370771
"Šenèur","Gospodinjstva",1907350,1674736,1710855,1556053,1495258,1397142,1288407,1285813,1312879,1594146,1790676,2046075,2196765,1825866,1830549,1651293,1566699,1362041,1289040,1265840,1280462,1600599,1734476,2208218,2088650,1783947,1762571,1504901,1312319,1196333,1147982,1092387,1158688
"Šenèur","Poslovni subjekti",1328413,1277751,1237976,974556,971181,1170203,1171066,1179730,1221972,1299806,1268285,1307620,1363145,1243492,1319714,1186455,1221633,1233917,1327608,1187240,1269661,1362843,1427806,1540672,1471282,1308378,1390321,1178528,1214091,1354220,1188184,1170135,1212083
"Šentilj","Vrsta odjemalca - SKUPAJ",9357821,8536155,8425902,7159759,7312980,9270298,5333548,5248432,5369306,6773074,7858476,8757699,9600179,7478075,9224700,9864397,9321592,9568621,9292478,6227610,8416239,9233481,7715324,9488969,8526905,6870797,7665752,8525179,9339027,7988579,7646235,7336570,7658170
"Šentilj","Gospodinjstva",1636449,1385560,1442847,1278003,1260679,1174222,1204613,1089345,1116346,1297934,1479041,1814279,1839191,1517573,1534795,1407960,1288226,1121386,1095221,1068851,1065893,1322695,1500018,1792589,1769532,1452798,1516149,1304105,1119235,1041706,1048586,1038932,1066678
"Šentilj","Poslovni subjekti",7721372,7150595,6983055,5881756,6052301,8096076,4128935,4159087,4252960,5475140,6379435,6943420,7760988,5960502,7689905,8456437,8033366,8447235,8197257,5158759,7350346,7910786,6215306,7696380,6757373,5417999,6149603,7221074,8219792,6946873,6597649,6297638,6591492
"Šentjernej","Vrsta odjemalca - SKUPAJ",3011235,2797155,2750694,2505825,2470053,2688275,2943212,2576977,2756552,2895533,2875409,3056294,3278366,2923770,3186006,2845014,2762163,2954989,3137050,2326724,2844245,2922201,3050972,3110190,3164240,2807853,3209307,2704464,2860939,3090652,3066328,2387630,2720687
"Šentjernej","Gospodinjstva",1232722,1009188,1106650,1169652,993745,973447,969856,1008400,948633,1103164,1149875,1393317,1423289,1146746,1165321,1086215,997397,952250,958571,945110,924854,1127275,1168926,1401426,1376120,1098079,1180950,1020932,922198,900321,937489,895660,911298
"Šentjernej","Poslovni subjekti",1778513,1787967,1644044,1336173,1476308,1714828,1973356,1568577,1807919,1792369,1725534,1662977,1855077,1777024,2020685,1758799,1764766,2002739,2178479,1381614,1919391,1794926,1882046,1708764,1788120,1709774,2028357,1683532,1938741,2190331,2128839,1491970,1809389
"Šentjur","Vrsta odjemalca - SKUPAJ",6395371,5577295,5707447,4891536,5228883,4909005,4853966,5048804,5133734,5655105,6044189,6716192,6584263,5761538,6165919,5593308,5394317,5312045,5160191,5038475,5120286,5678926,5982580,6916280,6646699,5513095,6165833,5231765,5051487,4931966,4679319,4723754,4780606
"Šentjur","Gospodinjstva",3229769,2680721,2893011,2702543,2509089,2294321,2330702,2419679,2302070,2700880,3030760,3632923,3519470,2887670,2969811,2820743,2537926,2352673,2319098,2309078,2252481,2700032,2885843,3726455,3472794,2759567,2992287,2591999,2296742,2169993,2208296,2154907,2184203
"Šentjur","Poslovni subjekti",3165602,2896574,2814436,2188993,2719794,2614684,2523264,2629125,2831664,2954225,3013429,3083269,3064793,2873868,3196108,2772565,2856391,2959372,2841093,2729397,2867805,2978894,3096737,3189825,3173905,2753528,3173546,2639766,2754745,2761973,2471023,2568847,2596403
"Šentrupert","Vrsta odjemalca - SKUPAJ",3275784,3401959,3155879,2625802,3008320,3027874,3195847,3106114,3329087,3316482,3237975,2816355,3243144,3294384,3502146,3216641,3315170,2761248,3343732,3238104,3322295,3331824,3431686,3236127,2905651,3225496,3467978,2975750,3194525,2823614,2913258,2636625,2922167
"Šentrupert","Gospodinjstva",469152,379497,410943,372371,354467,356202,346269,348067,333880,353650,430326,510907,499765,408915,424868,399112,360720,338691,346585,342289,334695,391975,408517,537604,507478,406262,424301,365752,330521,319998,329759,322595,327861
"Šentrupert","Poslovni subjekti",2806632,3022462,2744936,2253431,2653853,2671672,2849578,2758047,2995207,2962832,2807649,2305448,2743379,2885469,3077278,2817529,2954450,2422557,2997147,2895815,2987600,2939849,3023169,2698523,2398173,2819234,3043677,2609998,2864004,2503616,2583499,2314030,2594306
"Škocjan","Vrsta odjemalca - SKUPAJ",841767,732766,766631,679912,689427,660734,670343,652700,660653,772550,789912,827946,840546,741028,775800,720422,687029,651477,656026,628320,625854,735613,764586,878585,858636,708610,762689,661891,638377,643790,657691,617818,657579
"Škocjan","Gospodinjstva",532485,446478,486893,469760,463155,413049,429584,421880,427477,509668,529005,607733,581456,490971,504083,467528,446059,425719,426644,419498,411393,485190,499083,590189,591661,479921,504325,441583,407803,401013,420819,403364,408703
"Škocjan","Poslovni subjekti",309282,286288,279738,210152,226272,247685,240759,230820,233176,262882,260907,220213,259090,250057,271717,252894,240970,225758,229382,208822,214461,250423,265503,288396,266975,228689,258364,220308,230574,242777,236872,214454,248876
"Škofja Loka","Vrsta odjemalca - SKUPAJ",20272678,19664748,19969537,15993800,16822914,17263808,18644243,18927177,19074182,19704051,19881937,20015090,20964237,19255974,21391306,19527770,19185265,19608788,20252907,18873074,18464240,19862851,20124503,20087035,20951157,19446661,21576733,19203104,19717913,19382080,19382269,19137400,18258666
"Škofja Loka","Gospodinjstva",3892334,3363498,3640674,3267707,3173902,2797180,2720147,2682414,2893801,3238023,3674065,4110391,4405391,3548952,3837049,3465350,3206822,2770436,2672220,2671509,2816351,3165633,3615922,4221926,4362680,3673079,3808704,3182608,2806115,2542400,2517673,2502423,2697175
"Škofja Loka","Poslovni subjekti",16380344,16301250,16328863,12726093,13649012,14466628,15924096,16244763,16180381,16466028,16207872,15904699,16558846,15707022,17554257,16062420,15978443,16838352,17580687,16201565,15647889,16697218,16508581,15865109,16588477,15773582,17768029,16020496,16911798,16839680,16864596,16634977,15561491
"Škofljica","Vrsta odjemalca - SKUPAJ",3605721,2946850,3134788,2602591,2500247,2476376,2454586,2404477,2551169,2907613,3278760,3634987,3821997,3123072,3307205,2941851,2790915,2594713,2518211,2528759,2545053,3055603,3319449,3966287,3861666,3207391,3399660,2923955,2688413,2564902,2473812,2439424,2550180
"Škofljica","Gospodinjstva",2398698,1855809,2041035,1716904,1541518,1358707,1330504,1345238,1416602,1789013,2166331,2496190,2635372,2023258,2083420,1883537,1672194,1380584,1318007,1336565,1357561,1841391,2086616,2652265,2568704,2050236,2107851,1771544,1475561,1335503,1309370,1308709,1419281
"Škofljica","Poslovni subjekti",1207023,1091041,1093753,885687,958729,1117669,1124082,1059239,1134567,1118600,1112429,1138797,1186625,1099814,1223785,1058314,1118721,1214129,1200204,1192194,1187492,1214212,1232833,1314022,1292962,1157155,1291809,1152411,1212852,1229399,1164442,1130715,1130899
"Šmarje pri Jelšah","Vrsta odjemalca - SKUPAJ",3087357,2644710,2671611,2453836,2443104,2460228,2480164,2441089,2431504,2680429,2813875,2948712,3119164,2696351,2956681,2561615,2553007,2425571,2425243,2422141,2401018,2590756,2805936,3248141,3206670,2683317,2913153,2454754,2417322,2418805,2299582,2363968,2351149
"Šmarje pri Jelšah","Gospodinjstva",1632920,1343404,1559901,1315109,1261714,1183344,1212761,1235782,1180453,1368782,1527495,1822665,1772000,1442712,1563741,1366922,1284214,1188908,1193395,1185534,1147966,1349604,1458681,1858422,1746988,1389653,1511696,1321525,1154469,1120600,1152259,1127440,1111735
"Šmarje pri Jelšah","Poslovni subjekti",1454437,1301306,1111710,1138727,1181390,1276884,1267403,1205307,1251051,1311647,1286380,1126047,1347164,1253639,1392940,1194693,1268793,1236663,1231848,1236607,1253052,1241152,1347255,1389719,1459682,1293664,1401457,1133229,1262853,1298205,1147323,1236528,1239414
"Šmarješke Toplice","Vrsta odjemalca - SKUPAJ",1784389,1560787,1486486,1146733,1186045,1287153,1494829,1321422,1409958,1541773,1580020,1598691,1722577,1531202,1629695,1489876,1483145,1503907,1562921,1353095,1414160,1535513,1627454,1726055,1837447,1553465,1696497,1410979,1427907,1459033,1469963,1312950,1456813
"Šmarješke Toplice","Gospodinjstva",713838,583283,634654,552248,518211,460421,488578,505047,485629,592821,665160,774852,783398,631112,637510,584424,526470,500941,507841,497890,474354,584943,643414,762228,760328,622525,642574,552408,476226,477447,499600,476914,485397
"Šmarješke Toplice","Poslovni subjekti",1070551,977504,851832,594485,667834,826732,1006251,816375,924329,948952,914860,823839,939179,900090,992185,905452,956675,1002966,1055080,855205,939806,950570,984040,963827,1077119,930940,1053923,858571,951681,981586,970363,836036,971416
"Šmartno ob Paki","Vrsta odjemalca - SKUPAJ",1482971,1552438,1566900,941366,1362116,1387652,1403711,1347567,1428752,1626931,1703682,1349463,1337602,1527974,1756699,1573845,1547612,1439902,1398252,1316106,1460307,1581226,1690500,1565184,1559137,1516311,1700215,1498942,1438967,1339993,1250841,1194343,1246531
"Šmartno ob Paki","Gospodinjstva",781828,666119,705373,592090,551196,484580,488120,496822,478625,605729,706643,854289,864673,703901,710569,631765,559310,486618,467269,467921,458619,593969,701085,948474,840216,675770,722422,581702,477444,437462,442561,428044,450470
"Šmartno ob Paki","Poslovni subjekti",701143,886319,861527,349276,810920,903072,915591,850745,950127,1021202,997039,495174,472929,824073,1046130,942080,988302,953284,930983,848185,1001688,987257,989415,616710,718921,840541,977793,917240,961523,902531,808280,766299,796061
"Šmartno pri Litiji","Vrsta odjemalca - SKUPAJ",1601128,1457229,1579282,1426558,1431898,1409078,1492992,1341372,1467907,1651704,1803605,1658681,1735088,1576796,1774006,1666747,1696148,1654267,1627985,1487001,1563997,1895092,1820533,1805363,1872267,1729345,1881952,1700651,1700253,1588724,1512225,1376252,1437876
"Šmartno pri Litiji","Gospodinjstva",821740,725025,786691,739210,725368,678609,677601,669307,672901,789399,931293,857805,929483,783827,838535,822727,779801,714320,697506,688690,665833,965552,868064,964604,921862,889333,884835,813081,743578,657499,678522,671941,670272
"Šmartno pri Litiji","Poslovni subjekti",779388,732204,792591,687348,706530,730469,815391,672065,795006,862305,872312,800876,805605,792969,935471,844020,916347,939947,930479,798311,898164,929540,952469,840759,950405,840012,997117,887570,956675,931225,833703,704311,767604
"Šoštanj","Vrsta odjemalca - SKUPAJ",2750374,2405743,2365808,1934738,2011710,1991772,2183277,2217464,2261547,2377693,2278262,2479792,2537535,2212767,2286095,2145084,2263273,2209112,2253845,2172237,2175540,2377209,2426456,2751205,2562704,2154469,2347991,2038877,2036685,2062227,2036755,2025931,2020848
"Šoštanj","Gospodinjstva",1148128,1042925,1170353,1037099,1020391,948267,960737,988740,942094,1082916,1153578,1346035,1294106,1089865,1137525,1062690,1000451,940904,966137,929962,902404,1028373,1078934,1428086,1278939,1021361,1132487,1000343,911228,869499,866629,848876,861654
"Šoštanj","Poslovni subjekti",1602246,1362818,1195455,897639,991319,1043505,1222540,1228724,1319453,1294777,1124684,1133757,1243429,1122902,1148570,1082394,1262822,1268208,1287708,1242275,1273136,1348836,1347522,1323119,1283765,1133108,1215504,1038534,1125457,1192728,1170126,1177055,1159194
"Štore","Vrsta odjemalca - SKUPAJ",938772,796805,831711,729631,714673,689964,712502,729975,720797,803056,830411,967130,955699,804235,839669,767095,746058,726081,702753,701506,701163,783793,836924,1010827,950913,787892,836588,733967,693253,696882,688352,672458,688015
"Štore","Gospodinjstva",676842,561740,609104,549876,516001,466644,472751,478928,461064,563835,626242,731360,727041,593538,612660,563402,521995,474920,459567,457880,453083,550638,591232,734648,696622,566032,603101,522738,464569,433053,436063,419821,436457
"Štore","Poslovni subjekti",261930,235065,222607,179755,198672,223320,239751,251047,259733,239221,204169,235770,228658,210697,227009,203693,224063,251161,243186,243626,248080,233155,245692,276179,254291,221860,233487,211229,228684,263829,252289,252637,251558
"Tabor","Vrsta odjemalca - SKUPAJ",403862,342077,355406,309942,298763,279806,283990,297301,297191,326122,362081,422822,425052,342940,363752,329187,305688,283382,281721,299940,299855,340840,365027,450485,431044,344782,363010,304834,276210,265307,267020,275629,272995
"Tabor","Gospodinjstva",337131,281331,302115,263268,245641,220911,220492,227705,224110,265701,306637,369554,366425,286238,300329,274787,247084,219112,217749,222960,225837,273697,300349,373550,362373,285441,295320,243753,211361,197185,200692,199113,205618
"Tabor","Poslovni subjekti",66731,60746,53291,46674,53122,58895,63498,69596,73081,60421,55444,53268,58627,56702,63423,54400,58604,64270,63972,76980,74018,67143,64678,76935,68671,59341,67690,61081,64849,68122,66328,76516,67377
"Tišina","Vrsta odjemalca - SKUPAJ",1051034,853349,868166,734743,722067,681243,697698,717420,665940,809931,896222,1063877,1043761,916137,923086,816120,739469,698236,716815,689011,683350,848106,921202,1138291,1112145,918536,992330,816308,703356,662846,668368,642097,672511
"Tišina","Gospodinjstva",830431,664325,695886,588663,560219,515440,519797,522212,505929,626538,718772,860492,844117,729413,725852,646514,574161,525325,539968,517565,510236,657893,720199,917276,888519,721226,781208,625930,510288,481664,504462,480095,505118
"Tišina","Poslovni subjekti",220603,189024,172280,146080,161848,165803,177901,195208,160011,183393,177450,203385,199644,186724,197234,169606,165308,172911,176847,171446,173114,190213,201003,221015,223626,197310,211122,190378,193068,181182,163906,162002,167393
"Tolmin","Vrsta odjemalca - SKUPAJ",4633025,4156094,4171199,3096148,3178639,3491701,3820057,3817050,3932019,4149966,4185344,4465145,4694528,4138499,4617088,4169975,4060661,3994979,4027418,3884809,3902244,4012843,4243300,4756272,4895552,4284001,4595784,3770356,3879271,3870256,4005579,3640285,3740983
"Tolmin","Gospodinjstva",1879125,1600881,1669911,1412988,1454424,1287983,1297009,1295108,1264593,1515123,1674149,1947799,2058543,1667260,1697943,1724729,1530369,1271284,1252452,1336984,1288077,1531379,1664429,2113807,2106108,1738679,1781587,1505351,1284344,1174125,1269765,1217758,1197512
"Tolmin","Poslovni subjekti",2753900,2555213,2501288,1683160,1724215,2203718,2523048,2521942,2667426,2634843,2511195,2517346,2635985,2471239,2919145,2445246,2530292,2723695,2774966,2547825,2614167,2481464,2578871,2642465,2789444,2545322,2814197,2265005,2594927,2696131,2735814,2422527,2543471
"Trbovlje","Vrsta odjemalca - SKUPAJ",5229577,4539345,4751027,3860584,3777323,3626264,3689767,3756032,3775933,4411653,4810247,5202441,5438514,4560237,4960075,4373183,4197479,3926467,3843166,3736478,3735225,4380677,4716264,5397630,5424789,4610627,4929619,4228966,3826268,3742365,3643012,3634688,3756727
"Trbovlje","Gospodinjstva",2825358,2383323,2657769,2272456,2090244,1820677,1776264,1821102,1802796,2316908,2632824,3048616,3110313,2521759,2658086,2392323,2151256,1811994,1732294,1733991,1744521,2308439,2506397,2986521,3024782,2507741,2625833,2262517,1870388,1703483,1683915,1659112,1800079
"Trbovlje","Poslovni subjekti",2404219,2156022,2093258,1588128,1687079,1805587,1913503,1934930,1973137,2094745,2177423,2153825,2328201,2038478,2301989,1980860,2046223,2114473,2110872,2002487,1990704,2072238,2209867,2411109,2400007,2102886,2303786,1966449,1955880,2038882,1959097,1975576,1956648
"Trebnje","Vrsta odjemalca - SKUPAJ",4821462,4399697,4368910,3830351,3883020,3994525,4361784,4017568,4266389,4403204,4611253,4635568,4808627,4494432,4750661,4375824,4346190,4290542,4430258,4046053,3720171,4637397,4792729,4963696,5127890,4631904,5095663,4222654,4241894,4312941,4268323,3903312,4077651
"Trebnje","Gospodinjstva",1989895,1757493,1924885,1864080,1745704,1628412,1665911,1652735,1608518,1770392,2011036,2124217,2322796,2083836,2083867,2027523,1873886,1701846,1696441,1680928,1597294,1836483,2153551,2347715,2344953,2080006,2174269,1791670,1656896,1550659,1544629,1490848,1520668
"Trebnje","Poslovni subjekti",2831567,2642204,2444025,1966271,2137316,2366113,2695873,2364833,2657871,2632812,2600217,2511351,2485831,2410596,2666794,2348301,2472304,2588696,2733817,2365125,2122877,2800914,2639178,2615981,2782937,2551898,2921394,2430984,2584998,2762282,2723694,2412464,2556983
"Trnovska vas","Vrsta odjemalca - SKUPAJ",354830,279604,304665,277941,265057,259206,252915,264042,250914,272898,303779,317176,354849,292505,309856,281971,262712,261233,265680,256047,248280,299336,314457,391545,377319,324874,329668,277948,248794,244512,250107,245151,240535
"Trnovska vas","Gospodinjstva",254913,198682,223586,208965,193395,187930,187683,185753,174304,194788,225830,283365,269602,219315,231137,209443,191448,180580,185291,180323,172691,210658,230293,285291,277154,238836,238965,205578,178276,172690,180921,171667,172724
"Trnovska vas","Poslovni subjekti",99917,80922,81079,68976,71662,71276,65232,78289,76610,78110,77949,33811,85247,73190,78719,72528,71264,80653,80389,75724,75589,88678,84164,106254,100165,86038,90703,72370,70518,71822,69186,73484,67811
"Trzin","Vrsta odjemalca - SKUPAJ",2642671,2434926,2502295,2044283,2095939,2250438,2469226,2292084,2454017,2610191,2524728,2596680,2400279,2407796,2596242,2284756,2382528,2335380,2690767,2326055,2500221,2593847,2629078,2781158,2578128,2422325,2686475,2238038,2420123,2537708,2440260,2312670,2269574
"Trzin","Gospodinjstva",712083,567928,613906,518004,477827,410114,405093,423440,421546,548588,635204,777569,756470,598387,619677,553032,494250,419948,417890,415985,418651,553383,617840,792532,756363,598151,623986,525535,450745,412928,408985,412631,431174
"Trzin","Poslovni subjekti",1930588,1866998,1888389,1526279,1618112,1840324,2064133,1868644,2032471,2061603,1889524,1819111,1643809,1809409,1976565,1731724,1888278,1915432,2272877,1910070,2081570,2040464,2011238,1988626,1821765,1824174,2062489,1712503,1969378,2124780,2031275,1900039,1838400
"Tržiè","Vrsta odjemalca - SKUPAJ",4671945,4082465,4268118,3647315,3533858,3299167,3301963,3350958,3333800,3886169,4169192,4633433,4885913,4144000,4448726,3973608,3825369,3295574,3430017,3377746,3441563,3936409,4257227,4871470,4871230,4279937,4496822,3931095,3572113,3325409,3256587,3176702,3374201
"Tržiè","Gospodinjstva",2838894,2456753,2642694,2307125,2150819,1847490,1797354,1889479,1790255,2280992,2637397,3017575,3202371,2597389,2703632,2433004,2211338,1801943,1720906,1867363,1836293,2281964,2520986,3069404,3041025,2632612,2693087,2343392,1939102,1687128,1660773,1637867,1793629
"Tržiè","Poslovni subjekti",1833051,1625712,1625424,1340190,1383039,1451677,1504609,1461479,1543545,1605177,1531795,1615858,1683542,1546611,1745094,1540604,1614031,1493631,1709111,1510383,1605270,1654445,1736241,1802066,1830205,1647325,1803735,1587703,1633011,1638281,1595814,1538835,1580572
"Turnišèe","Vrsta odjemalca - SKUPAJ",903380,951415,876751,764063,722186,669722,680893,620100,861743,980862,978936,1113667,962930,957977,990915,885440,839267,753823,797644,723500,789344,1031228,1025876,1122374,804799,878377,771581,654514,607121,614843,702613,638088,708949
"Turnišèe","Gospodinjstva",480188,397955,403966,377779,361308,358950,359020,361761,333720,382641,429401,527628,503624,422130,429629,398751,368188,363745,380529,359965,334333,405302,439658,545667,531580,426572,450174,388973,343292,322532,357614,344230,334661
"Turnišèe","Poslovni subjekti",423192,553460,472785,386284,360878,310772,321873,258339,528023,598221,549535,586039,459306,535847,561286,486689,471079,390078,417115,363535,455011,625926,586218,576707,273219,451805,321407,265541,263829,292311,344999,293858,374288
"Velenje","Vrsta odjemalca - SKUPAJ",10825271,9594953,9396000,7951631,9345865,10106402,10538613,11037727,11183026,10802630,10406923,10675845,11023142,10184483,11130778,9694577,10549292,11468337,10951022,11228181,11661532,11172447,10762163,11080479,11254773,9789140,11019619,10251758,11266507,11137145,10714416,10122965,10432698
