"OBÈINE","VRSTA ODJEMALCA","2020M01 (zaèasni podatki)","2020M02 (zaèasni podatki)","2020M03 (zaèasni podatki)","2020M04 (zaèasni podatki)","2020M05 (zaèasni podatki)","2020M06 (zaèasni podatki)","2020M07 (zaèasni podatki)","2020M08 (zaèasni podatki)","2020M09 (zaèasni podatki)","2020M10 (zaèasni podatki)","2020M11 (zaèasni podatki)","2020M12 (zaèasni podatki)","2021M01 (zaèasni podatki)","2021M02 (zaèasni podatki)","2021M03 (zaèasni podatki)","2021M04 (zaèasni podatki)","2021M05 (zaèasni podatki)","2021M06 (zaèasni podatki)","2021M07 (zaèasni podatki)","2021M08 (zaèasni podatki)","2021M09 (zaèasni podatki)","2021M10 (zaèasni podatki)","2021M11 (zaèasni podatki)","2021M12 (zaèasni podatki)","2022M01 (zaèasni podatki)","2022M02 (zaèasni podatki)","2022M03 (zaèasni podatki)","2022M04 (zaèasni podatki)","2022M05 (zaèasni podatki)","2022M06 (zaèasni podatki)","2022M07 (zaèasni podatki)","2022M08 (zaèasni podatki)","2022M09 (zaèasni podatki)"
"Benedikt","Vrsta odjemalca - SKUPAJ",678181,589045,588301,479002,531084,454066,483162,486390,479498,532208,575071,731738,700090,611698,614308,564865,541010,492422,499713,479820,478987,602909,653991,751847,759738,616825,677518,566594,489560,489209,492831,483271,483261
"Benedikt","Gospodinjstva",468484,398989,415519,358936,399423,308868,324686,327420,321103,376608,434013,549853,523583,457874,447512,417556,392293,339891,345111,322023,321360,418293,463219,543540,538424,439826,475487,401648,338347,323730,325856,316578,325041
"Benedikt","Poslovni subjekti",209697,190056,172782,120066,131661,145198,158476,158970,158395,155600,141058,181885,176507,153824,166796,147309,148717,152531,154602,157797,157627,184616,190772,208307,221314,176999,202031,164946,151213,165479,166975,166693,158220
"Bistrica ob Sotli","Vrsta odjemalca - SKUPAJ",347816,284329,286760,248301,241753,240300,253051,259257,246980,276958,293737,340217,344917,284368,294865,281245,285137,281506,280381,279971,268316,309177,326192,384228,390714,303700,325471,282345,270152,256394,261053,268394,268562
"Bistrica ob Sotli","Gospodinjstva",245589,198299,204296,190602,175504,167772,176921,180001,170472,192412,214409,254831,259636,213768,214582,211095,182990,170511,174456,176080,165229,198561,208888,263334,258552,198177,208317,183989,160516,153640,162376,160200,157590
"Bistrica ob Sotli","Poslovni subjekti",102227,86030,82464,57699,66249,72528,76130,79256,76508,84546,79328,85386,85281,70600,80283,70150,102147,110995,105925,103891,103087,110616,117304,120894,132162,105523,117154,98356,109636,102754,98677,108194,110972
"Bled","Vrsta odjemalca - SKUPAJ",4137482,3688106,3486505,2513001,2579846,2754398,3209388,3509200,3336122,3264400,3053324,3402678,3562647,3115901,3230970,2801869,2898391,3218488,3524780,3636488,3429630,3518461,3622495,4169590,4035356,3462669,3744058,3449591,3426912,3741571,3919311,3868562,3591742
"Bled","Gospodinjstva",1628122,1401544,1467111,1204702,1170139,1073003,1078448,1136485,1077617,1285966,1450205,1722702,1880273,1475061,1512149,1324754,1205199,1056653,1064600,1154147,1067607,1315686,1462136,1816813,1789115,1495950,1503466,1350004,1118808,1112241,1139055,1122294,1126706
"Bled","Poslovni subjekti",2509360,2286562,2019394,1308299,1409707,1681395,2130940,2372715,2258505,1978434,1603119,1679976,1682374,1640840,1718821,1477115,1693192,2161835,2460180,2482341,2362023,2202775,2160359,2352777,2246241,1966719,2240592,2099587,2308104,2629330,2780256,2746268,2465036
"Bloke","Vrsta odjemalca - SKUPAJ",559575,535502,565586,505056,545304,527737,557677,525420,652755,639812,584929,588524,661444,555088,603925,567768,547664,500088,513409,522331,553060,575663,585441,620125,651448,544569,587503,489364,501066,510456,481875,465500,490261
"Bloke","Gospodinjstva",228347,212188,234790,233478,226759,212217,218458,213629,277371,284578,255979,296129,298918,242872,238917,245131,220791,202119,209533,206617,200347,224053,236296,309160,271149,232504,246286,216014,197724,198597,202252,191509,186023
"Bloke","Poslovni subjekti",331228,323314,330796,271578,318545,315520,339219,311791,375384,355234,328950,292395,362526,312216,365008,322637,326873,297969,303876,315714,352713,351610,349145,310965,380299,312065,341217,273350,303342,311859,279623,273991,304238
"Bohinj","Vrsta odjemalca - SKUPAJ",3079328,2897232,2742902,1964168,1702976,2032535,2415655,2314387,2336743,2371139,2427986,2686785,3065687,2903659,2831022,2378442,2239653,2211711,2649003,2585050,2467874,2548752,2516441,3208134,3396952,3054035,3051035,2627295,2355142,2402307,2601390,2401882,2441562
"Bohinj","Gospodinjstva",1221200,1085414,1119914,946190,832444,771745,829043,873515,778631,927633,1065040,1344825,1506365,1200798,1128849,1005400,864521,730530,794688,856237,776027,949582,1048783,1554653,1533531,1258965,1173862,999159,769378,724696,809599,826000,804858
"Bohinj","Poslovni subjekti",1858128,1811818,1622988,1017978,870532,1260790,1586612,1440872,1558112,1443506,1362946,1341960,1559322,1702861,1702173,1373042,1375132,1481181,1854315,1728813,1691847,1599170,1467658,1653481,1863421,1795070,1877173,1628136,1585764,1677611,1791791,1575882,1636704
"Borovnica","Vrsta odjemalca - SKUPAJ",1885521,1709823,1767411,1550076,1470888,1441206,1602132,1384653,1585705,1708246,1754146,1972531,1912408,1748080,1871565,1773034,1664596,1640025,1657824,1470752,1629091,1784397,1819385,2081737,1992761,1761906,1931668,1688733,1659987,1658036,1548807,1501504,1579124
"Borovnica","Gospodinjstva",823076,681748,739570,664451,588577,514370,513253,511469,523360,666102,790516,959767,932753,751104,772061,702078,612775,511496,481252,506700,512004,697779,754353,982383,918188,777099,787771,667558,559870,499046,485650,492291,534551
"Borovnica","Poslovni subjekti",1062445,1028075,1027841,885625,882311,926836,1088879,873184,1062345,1042144,963630,1012764,979655,996976,1099504,1070956,1051821,1128529,1176572,964052,1117087,1086618,1065032,1099354,1074573,984807,1143897,1021175,1100117,1158990,1063157,1009213,1044573
"Bovec","Vrsta odjemalca - SKUPAJ",1759514,1652503,1459379,1140378,1345594,1493573,1708225,1675205,1678163,1537520,1494112,1624375,1788519,1575250,1745885,1549580,1734582,1629281,1860954,1802935,1721195,1632630,1624246,1912495,1957260,1692874,1795460,1661386,1623431,1814663,1977754,1828469,1708366
"Bovec","Gospodinjstva",616699,561009,560747,481649,473306,530379,498641,509921,513921,506825,519164,639432,692276,585487,608501,547880,580733,506394,516207,563220,496792,528582,539606,752991,716050,609225,586728,547501,473413,491930,546077,566630,489188
"Bovec","Poslovni subjekti",1142815,1091494,898632,658729,872288,963194,1209584,1165284,1164242,1030695,974948,984943,1096243,989763,1137384,1001700,1153849,1122887,1344747,1239715,1224403,1104048,1084640,1159504,1241210,1083649,1208732,1113885,1150018,1322733,1431677,1261839,1219178
"Braslovèe","Vrsta odjemalca - SKUPAJ",1784432,1492746,1498224,1254148,1154449,1032523,1056115,1130076,1170515,1357746,1588336,1901084,1898296,1524106,1576313,1401368,1247162,1123465,1109939,1127592,1174545,1355076,1544129,1957278,1871220,1493222,1590794,1309074,1095747,1055874,1111853,1141302,1137815
"Braslovèe","Gospodinjstva",1367371,1117666,1176179,991797,884088,764577,753987,787236,785332,1008819,1225037,1512698,1504502,1176319,1194837,1060079,914157,762598,751476,760225,765454,991838,1152650,1557074,1432439,1119932,1188994,973968,759191,685534,701792,688201,723926
