"OBÈINE","SKD DEJAVNOST","2020M01 (zaèasni podatki)","2020M02 (zaèasni podatki)","2020M03 (zaèasni podatki)","2020M04 (zaèasni podatki)","2020M05 (zaèasni podatki)","2020M06 (zaèasni podatki)","2020M07 (zaèasni podatki)","2020M08 (zaèasni podatki)","2020M09 (zaèasni podatki)","2020M10 (zaèasni podatki)","2020M11 (zaèasni podatki)","2020M12 (zaèasni podatki)","2021M01 (zaèasni podatki)","2021M02 (zaèasni podatki)","2021M03 (zaèasni podatki)","2021M04 (zaèasni podatki)","2021M05 (zaèasni podatki)","2021M06 (zaèasni podatki)","2021M07 (zaèasni podatki)","2021M08 (zaèasni podatki)","2021M09 (zaèasni podatki)","2021M10 (zaèasni podatki)","2021M11 (zaèasni podatki)","2021M12 (zaèasni podatki)","2022M01 (zaèasni podatki)","2022M02 (zaèasni podatki)","2022M03 (zaèasni podatki)","2022M04 (zaèasni podatki)","2022M05 (zaèasni podatki)","2022M06 (zaèasni podatki)","2022M07 (zaèasni podatki)","2022M08 (zaèasni podatki)","2022M09 (zaèasni podatki)"
"Komenda","U Dejavnost eksteritorialnih organizacij in teles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Komenda","X Neznano",53188,41520,43446,43020,38728,37397,46977,54698,53637,49878,42962,48643,47405,40911,43383,37708,36035,35673,39870,47849,44520,38535,37603,46575,46018,38765,45239,37337,46429,39762,48792,47364,45533
"Koper/Capodistria","SKD Dejavnost - SKUPAJ",18562701,17058491,16051803,11376951,12899601,15097749,16820466,16190972,16586608,16424923,15615816,17133029,17204891,13606210,20172593,15657882,15885134,17380569,18250828,17043273,16853364,16754329,17003909,17756250,18251700,16696039,18177123,15365733,16730341,18431935,18313863,17269819,16526479
"Koper/Capodistria","A Kmetijstvo in lov, gozdarstvo, ribištvo",5607,4444,5198,9273,8184,10643,11090,11363,34238,8526,8834,7623,7476,7130,8212,7623,9353,10010,12860,15518,13753,10636,9218,9085,8220,6962,8610,8397,10380,12038,16540,15301,9686
"Koper/Capodistria","B Rudarstvo",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Koper/Capodistria","C Predelovalne dejavnosti",3957799,3982002,3787746,1915947,2296740,2984720,3940901,3145543,3978680,4068957,4086378,4263399,4136082,3920920,4247539,3726739,3806940,4054966,4061275,3712462,4017971,3737595,3777430,3608156,4159367,3709698,4138395,3438803,3696897,4000682,3680728,3083181,3724930
"Koper/Capodistria","D Oskrba z elektrièno energijo, plinom in paro",36860,33700,32133,26991,26035,28494,36231,36810,31989,30070,33103,39164,40908,36440,38062,33881,31801,37621,43844,40180,36693,38569,42368,49134,47207,36020,40941,34150,34326,40295,43255,40084,32071
"Koper/Capodistria","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",494592,447201,464225,441172,440304,446924,426249,513213,506287,469665,425417,490480,472326,429931,444227,425135,440567,484352,495261,513663,470954,480134,497475,439273,294616,518002,446603,388652,415079,460181,480272,461248,409850
"Koper/Capodistria","F Gradbeništvo",292548,249356,209743,134280,190752,240018,310223,311809,264024,230685,231216,306267,312150,274366,290224,251758,254485,311748,334858,293221,269693,261295,298035,376995,415859,376577,454654,408001,463253,535011,626684,578630,561624
"Koper/Capodistria","G Trgovina, vzdrževanje in popravila motornih vozil",2204346,2023982,1786138,1426129,1730380,1970747,2250632,2275782,2049796,1848231,1644693,1838575,1823320,1718999,1816301,1673107,1713430,2019580,2252756,2136082,1917306,1860932,1844730,2104110,2093554,1873024,2004303,1705287,1832511,2061734,2236724,2183708,1880260
